--------------------------------------------------------------------------------

		Marvellous Infosystems Process Log
		Log file is created at : Mon Jun 23 00:24:25 2025
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375} 
{'name': 'TouchpointAnalyticsClientService.exe', 'username': None, 'pid': 3536, 'vms': 48.08203125} 

{'name': 'SysInfoCap.exe', 'username': None, 'pid': 3544, 'vms': 9.03125} 

{'name': 'dwm.exe', 'username': None, 'pid': 3624, 'vms': 132.90625} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 3692, 'vms': 14.3203125} 

{'name': 'RstMwService.exe', 'username': None, 'pid': 3744, 'vms': 2.15625} 

{'name': 'svchost.exe', 'username': None, 'pid': 3780, 'vms': 3.55859375} 

{'name': 'svchost.exe', 'username': None, 'pid': 3804, 'vms': 3.6953125} 

{'name': 'svchost.exe', 'username': None, 'pid': 3820, 'vms': 12.41015625} 

{'name': 'svchost.exe', 'username': None, 'pid': 3876, 'vms': 1.62890625} 

{'name': 'TextInputHost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 3932, 'vms': 121.09765625} 

{'name': 'svchost.exe', 'username': None, 'pid': 3956, 'vms': 21.75} 

{'name': 'svchost.exe', 'username': None, 'pid': 4020, 'vms': 7.703125} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 4036, 'vms': 161.33984375} 

{'name': 'unsecapp.exe', 'username': None, 'pid': 4292, 'vms': 1.93359375} 

{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4328, 'vms': 5.921875} 

{'name': 'jhi_service.exe', 'username': None, 'pid': 4344, 'vms': 1.40234375} 

{'name': 'Widgets.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 4560, 'vms': 11.48828125} 

{'name': 'svchost.exe', 'username': None, 'pid': 4580, 'vms': 1.59375} 

{'name': 'svchost.exe', 'username': None, 'pid': 4616, 'vms': 2.2890625} 

{'name': 'AppVShNotify.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 4636, 'vms': 2.38671875} 

{'name': 'svchost.exe', 'username': None, 'pid': 4656, 'vms': 6.86328125} 

{'name': 'svchost.exe', 'username': None, 'pid': 4684, 'vms': 2.80859375} 

{'name': 'spoolsv.exe', 'username': None, 'pid': 4736, 'vms': 7.92578125} 

{'name': 'svchost.exe', 'username': None, 'pid': 4848, 'vms': 1.8515625} 

{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 4884, 'vms': 23.18359375} 

{'name': 'svchost.exe', 'username': None, 'pid': 4920, 'vms': 27.1484375} 

{'name': 'svchost.exe', 'username': None, 'pid': 4936, 'vms': 28.5859375} 

{'name': 'RtkAudUService64.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 4996, 'vms': 22.0} 

{'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'pid': 5004, 'vms': 27.57421875} 

{'name': 'esif_uf.exe', 'username': None, 'pid': 5012, 'vms': 2.02734375} 

{'name': 'IntelAudioService.exe', 'username': None, 'pid': 5040, 'vms': 36.578125} 

